"TIMESTAMP", "OPEN", "CLOSE", "HIGH", "LOW", "VOLUME", "QUOTE_VOLUME", "CURRENCY_PAIR"
"1530705600","6537.380629","6680.513088","6774.983889","6533.52333","82.80564721","553394.73909832","BTC-USDT"
"1530727200","6680.783277","6585.127182","6698.868027","6556.90695","34.64760957","230221.01850659","BTC-USDT"
"1530748800","6585.127182","6609.943724","6707.541995","6525","39.51422974","261387.9630862","BTC-USDT"
"1530770400","6603.624225","6618.253977","6699.999999","6558.156075","46.99748273","311078.92796542","BTC-USDT"
"1530792000","6618.253977","6556.876971","6662.514749","6543.416","90.08714779","595090.60401921","BTC-USDT"
"1530813600","6556.310734","6532.833212","6570.99648","6450","58.34680645","378853.73580083","BTC-USDT"
"1530835200","6532.833212","6490","6551.816563","6490","61.40662547","399942.55919831","BTC-USDT"
"1530856800","6490","6536.712498","6536.752526","6439.259361","97.17007115","630595.57457719","BTC-USDT"
"1530878400","6530.698291","6601.768005","6628.92","6518.93355","75.17050529","493669.12627919","BTC-USDT"
"1530900000","6601","6603.5","6624.237794","6536.481787","39.30127501","258334.89477863","BTC-USDT"
"1530921600","6603.5","6595","6616.616617","6561.379017","26.1424522","172307.88659903","BTC-USDT"
"1530943200","6593.371407","6582.554565","6604.818139","6563.347039","17.80865946","117271.43109975","BTC-USDT"
"1530964800","6580","6543.197182","6606.057652","6512.92185","32.97636158","216200.32471344","BTC-USDT"
"1530986400","6542.180785","6761.389662","6800","6510.246765","54.62963622","363965.56521269","BTC-USDT"
"1531008000","6761.389662","6734.650958","6792.773818","6705.055573","38.02660173","256409.24387755","BTC-USDT"
"1531029600","6722.161191","6734.500853","6745.868805","6714.046875","19.14381888","128905.252862","BTC-USDT"
"1531051200","6734.500853","6760.818863","6777.937749","6720","28.85813406","194737.01279033","BTC-USDT"
"1531072800","6760.818863","6705","6783.693113","6685","38.03211954","256530.62493995","BTC-USDT"
"1531094400","6705","6701.235849","6726","6676.659191","27.89037085","186934.35654757","BTC-USDT"
"1531116000","6709","6711.105136","6751.818708","6670","32.10569755","215330.32181954","BTC-USDT"
"1531137600","6711.238842","6690","6740.7152","6670","35.18015649","235925.11275122","BTC-USDT"
"1531159200","6688.71462","6651.55703","6798.505625","6629.883958","47.25768258","316721.03931352","BTC-USDT"
"1531180800","6651.670569","6616.941787","6681.862632","6611.7383","39.47859578","262245.87894718","BTC-USDT"
"1531202400","6616.941787","6359.4486","6616.941787","6299.999999","129.92734167","833769.49904773","BTC-USDT"
"1531224000","6359.4486","6371.987271","6408.829435","6325.257053","69.53522201","442588.45645797","BTC-USDT"
"1531245600","6371.987271","6290.5935","6411.999999","6273.193389","50.1841827","318855.31270622","BTC-USDT"
"1531267200","6295.306765","6340.93555","6400","6271.815202","81.96774521","518634.93390377","BTC-USDT"
"1531288800","6334.57777","6365.916737","6384.115376","6281.27077","138.64496286","878071.46979652","BTC-USDT"
"1531310400","6365.916737","6349.11","6388.20669","6320.038466","51.75675677","328514.81021701","BTC-USDT"
"1531332000","6345","6367.91365","6378.101548","6292.000337","45.82751792","290291.16927383","BTC-USDT"
"1531353600","6358.567472","6330","6368.734996","6297.403923","32.9693109","208291.03386952","BTC-USDT"
"1531375200","6330","6167.043911","6330","6139.490773","96.47225717","596834.92486806","BTC-USDT"
"1531396800","6167.043911","6172.666107","6207.641203","6150.155491","53.44873455","330106.0311126","BTC-USDT"
"1531418400","6173.035848","6235.641993","6268","6078.081903","50.71649965","312487.92714853","BTC-USDT"
"1531440000","6239.6292","6245","6280","6217","31.55701184","197341.4515757","BTC-USDT"
"1531461600","6245","6251.3729","6260.639382","6226.3554","21.87226247","136587.54587565","BTC-USDT"
"1531483200","6251.3729","6264.201987","6288","6230.13381","24.96639835","156271.98808907","BTC-USDT"
"1531504800","6268.588914","6233.073104","6342.8","6127.258272","36.33634514","225529.14086678","BTC-USDT"
"1531526400","6216.542634","6229.237416","6274.98","6198.830779","7.78890122","48584.98365494","BTC-USDT"
"1531548000","6227.36","6235","6241.385914","6180","15.40997883","95840.7880548","BTC-USDT"
"1531569600","6236.1","6264.97","6277.064179","6218.783802","22.60744394","141115.66978721","BTC-USDT"
"1531591200","6268.93","6269.3855","6321.20308","6211","17.49217669","109512.80222702","BTC-USDT"
"1531612800","6263.211181","6288.355068","6298.532985","6232.174422","11.51423809","72067.97537907","BTC-USDT"
"1531634400","6288.355068","6363.231146","6388.20669","6263.848364","24.27232209","153456.95513962","BTC-USDT"
"1531656000","6363.231146","6368.359026","6395","6333.753267","22.5910276","143734.34902288","BTC-USDT"
"1531677600","6381.217027","6350","6389.754309","6342.142618","18.01739849","114690.02357884","BTC-USDT"
"1531699200","6350.5","6368.734996","6379.026036","6332.029265","26.66125319","169608.93788415","BTC-USDT"
"1531720800","6368.734996","6641.74597","6666","6356.553902","74.69291384","485995.01594431","BTC-USDT"
"1531742400","6641.74597","6674.799091","6700","6574.41559","124.37950015","821881.25660785","BTC-USDT"
"1531764000","6665.620797","6729.447518","6747.153831","6645.451902","28.31655932","189088.72026742","BTC-USDT"
"1531785600","6716.2953","6683","6747.088959","6663.649151","48.56125404","325864.35717191","BTC-USDT"
"1531807200","6681.76948","6678.261942","6726","6653.386469","27.94414696","187054.90536962","BTC-USDT"
"1531828800","6675","7172.2203","7221.041193","6670.637283","83.12685484","573057.20923783","BTC-USDT"
"1531850400","7175.9733","7287.557777","7459.508491","7175.9733","110.85701367","813727.39331454","BTC-USDT"
"1531872000","7287.55752","7455.01554","7546.759036","7287.55752","75.65383556","560949.94114341","BTC-USDT"
"1531893600","7455.01554","7420.1905","7471.046094","7325.484569","43.83483655","324791.16914169","BTC-USDT"
"1531915200","7426.865169","7512.955389","7524","7393.681957","38.0969697","283573.50189148","BTC-USDT"
"1531936800","7510.293528","7376.429889","7581.063032","7236.133513","96.21390861","707287.50479113","BTC-USDT"
"1531958400","7380.212535","7334.75","7380.212535","7274.414343","23.30074491","170652.587389","BTC-USDT"
"1531980000","7327.477173","7424.303377","7424.449995","7287.829493","39.14004299","288280.6954748","BTC-USDT"
"1532001600","7424.303377","7410.169248","7513","7354.170058","69.79236849","519142.19603975","BTC-USDT"
